STATECD,RSCD,RS,STATE_NAME,STATE_ABBR,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
1,33,SRS,Alabama,AL,,2/23/05,333,,1/28/10,333
2,27,PNWRS,Alaska,AK,,2/23/05,333,,1/28/10,333
4,22,RMRS,Arizona,AZ,,2/23/05,333,,1/28/10,333
5,33,SRS,Arkansas,AR,,2/23/05,333,,1/28/10,333
6,26,PNWRS,California,CA,,2/23/05,333,,1/28/10,333
8,22,RMRS,Colorado,CO,,2/23/05,333,,1/28/10,333
9,24,NERS,Connecticut,CT,,2/23/05,333,,1/28/10,333
10,24,NERS,Delaware,DE,,2/23/05,333,,1/28/10,333
11,24,NERS,District of Columbia,DC,,6/3/05,333,,1/28/10,333
12,33,SRS,Florida,FL,,2/23/05,333,,1/28/10,333
13,33,SRS,Georgia,GA,,2/23/05,333,,1/28/10,333
15,26,PNWRS,Hawaii,HI,,2/23/05,333,,1/28/10,333
16,22,RMRS,Idaho,ID,,2/23/05,333,,1/28/10,333
17,23,NCRS,Illinois,IL,,2/23/05,333,,1/28/10,333
18,23,NCRS,Indiana,IN,,2/23/05,333,,1/28/10,333
19,23,NCRS,Iowa,IA,,2/23/05,333,,1/28/10,333
20,23,NCRS,Kansas,KS,,2/23/05,333,,1/28/10,333
21,33,SRS,Kentucky,KY,,2/23/05,333,,1/28/10,333
22,33,SRS,Louisiana,LA,,2/23/05,333,,1/28/10,333
23,24,NERS,Maine,ME,,2/23/05,333,,1/28/10,333
24,24,NERS,Maryland,MD,,2/23/05,333,,1/28/10,333
25,24,NERS,Massachusetts,MA,,2/23/05,333,,1/28/10,333
26,23,NCRS,Michigan,MI,,2/23/05,333,,1/28/10,333
27,23,NCRS,Minnesota,MN,,2/23/05,333,,1/28/10,333
28,33,SRS,Mississippi,MS,,2/23/05,333,,1/28/10,333
29,23,NCRS,Missouri,MO,,2/23/05,333,,1/28/10,333
30,22,RMRS,Montana,MT,,2/23/05,333,,1/28/10,333
31,23,NCRS,Nebraska,NE,,2/23/05,333,,1/28/10,333
32,22,RMRS,Nevada,NV,,2/23/05,333,,1/28/10,333
33,24,NERS,New Hampshire,NH,,2/23/05,333,,1/28/10,333
34,24,NERS,New Jersey,NJ,,2/23/05,333,,1/28/10,333
35,22,RMRS,New Mexico,NM,,2/23/05,333,,1/28/10,333
36,24,NERS,New York,NY,,2/23/05,333,,1/28/10,333
37,33,SRS,North Carolina,NC,,2/23/05,333,,1/28/10,333
38,23,NCRS,North Dakota,ND,,2/23/05,333,,1/28/10,333
39,24,NERS,Ohio,OH,,2/23/05,333,,1/28/10,333
40,33,SRS,Oklahoma,OK,,2/23/05,333,,1/28/10,333
41,26,PNWRS,Oregon,OR,,2/23/05,333,,1/28/10,333
42,24,NERS,Pennsylvania,PA,,2/23/05,333,,1/28/10,333
44,24,NERS,Rhode Island,RI,,2/23/05,333,,1/28/10,333
45,33,SRS,South Carolina,SC,,2/23/05,333,,1/28/10,333
46,23,NCRS,South Dakota,SD,,2/23/05,333,,1/28/10,333
47,33,SRS,Tennessee,TN,,2/23/05,333,,1/28/10,333
48,33,SRS,Texas,TX,,2/23/05,333,,1/28/10,333
49,22,RMRS,Utah,UT,,2/23/05,333,,1/28/10,333
50,24,NERS,Vermont,VT,,2/23/05,333,,1/28/10,333
51,33,SRS,Virginia,VA,,2/23/05,333,,1/28/10,333
53,26,PNWRS,Washington,WA,,2/23/05,333,,1/28/10,333
54,24,NERS,West Virginia,WV,,2/23/05,333,,1/28/10,333
55,23,NCRS,Wisconsin,WI,,2/23/05,333,,1/28/10,333
56,22,RMRS,Wyoming,WY,,2/23/05,333,,1/28/10,333
60,26,PNWRS,American Samoa,AS,,4/22/13,20004,,,
64,26,PNWRS,Federated States of Micronesia,FM,,4/22/13,20004,,10/30/13,440
66,26,PNWRS,Guam,GU,,4/22/13,20004,,10/30/13,440
68,26,PNWRS,Marshall Islands,MH,,4/22/13,20004,,,
69,26,PNWRS,Northern Mariana Islands,MP,,4/22/13,20004,,,
70,26,PNWRS,Palau,PW,,4/22/13,20004,,,
72,33,SRS,Puerto Rico,PR,,1/28/10,440,,1/28/10,333
78,33,SRS,US Virgin Islands,VI,,1/28/10,440,,11/6/13,440
